Date,MKT,SMB,HML,MOM,RF
20150202,1.25,-0.46,1,-0.8,0
20150203,1.49,0.17,0.51,-1.21,0
20150204,-0.35,-0.07,-0.21,0.79,0
20150205,1.1,0.47,-0.16,-0.71,0
20150206,-0.2,0.07,0.39,-0.8,0
20150209,-0.46,-0.39,0.09,-0.68,0
20150210,1.04,-0.32,-0.7,1.22,0
20150211,0.03,-0.11,-0.33,0.45,0
20150212,1,0.16,-0.09,-0.46,0
20150213,0.47,0.18,-0.29,-1.3,0
20150217,0.17,-0.02,0,0.01,0
20150218,0.03,0.29,-0.81,0.65,0
20150219,-0.01,0.27,-0.35,-0.55,0
20150220,0.61,-0.41,-0.26,0.57,0
20150223,-0.08,0.04,-0.38,0.95,0
20150224,0.32,-0.04,0.69,-0.03,0
20150225,0.02,0.22,-0.51,-1.01,0
20150226,-0.08,0.62,-0.49,0.34,0
20150227,-0.36,-0.21,0.22,-0.21,0
20150302,0.62,0.23,-0.43,0.36,0
20150303,-0.43,-0.31,0.3,-0.39,0
20150304,-0.41,0.09,-0.4,0.04,0
20150305,0.15,0.24,-0.43,-0.02,0
20150306,-1.29,0.27,0.43,0.11,0
20150309,0.37,0.08,-0.02,0.82,0
20150310,-1.63,0.42,-0.47,0.48,0
20150311,-0.04,0.57,0.52,-0.03,0
20150312,1.28,0.38,0.5,0.67,0
20150313,-0.57,0.2,-0.04,0.75,0
20150316,1.23,-0.77,-0.42,0.65,0
20150317,-0.2,0.54,-0.03,0.21,0
20150318,1.08,-0.51,0,-0.86,0
20150319,-0.36,0.87,-1.11,0.95,0
20150320,0.81,-0.14,0.54,-0.41,0
20150323,-0.19,0.21,0.24,-0.5,0
20150324,-0.51,0.58,-0.29,-0.31,0
20150325,-1.56,-0.98,1.04,-1.21,0
20150326,-0.22,0.11,-0.06,-0.01,0
20150327,0.32,0.5,-0.7,1.18,0
20150330,1.24,0.01,-0.04,0.19,0
20150331,-0.75,0.42,0.38,-0.23,0
20150401,-0.38,0.35,0.43,-0.16,0
20150402,0.35,-0.08,0.31,-0.58,0
20150406,0.61,-0.27,-0.15,-1.35,0
20150407,-0.22,-0.19,-0.16,-0.3,0
20150408,0.37,0.53,-0.72,1.28,0
20150409,0.41,-0.7,-0.06,-0.83,0
20150410,0.49,-0.07,-0.28,0.32,0
20150413,-0.38,0.49,0.23,0.05,0
20150414,0.11,-0.19,0.19,-1.19,0
20150415,0.57,0.25,0.32,-1.75,0
20150416,-0.08,-0.08,-0.21,0.57,0
20150417,-1.23,-0.46,0.23,0.09,0
20150420,0.95,0.16,-0.27,0.29,0
20150421,-0.1,0.19,-0.76,1.3,0
20150422,0.46,-0.37,0.16,-0.16,0
20150423,0.29,0.29,-0.22,-0.27,0
20150424,0.17,-0.51,-0.28,0.37,0
20150427,-0.54,-0.7,0.56,-1.27,0
20150428,0.27,0.21,1.02,-0.75,0
20150429,-0.38,-0.74,0.74,-1.17,0
20150430,-1.11,-1.06,0.77,-1.15,0
20150501,1.01,-0.31,-0.62,1.04,0
20150504,0.32,0.03,0.24,0.22,0
20150505,-1.19,-0.15,0.51,-0.43,0
20150506,-0.31,0.64,-0.14,0.41,0
20150507,0.39,0.04,-0.4,0.88,0
20150508,1.21,-0.57,-0.12,0.14,0
20150511,-0.39,0.67,-0.03,0.61,0
20150512,-0.27,0,0.07,-0.35,0
20150513,0.01,0,0.02,-0.1,0
20150514,1.01,-0.1,-0.35,0.88,0
20150515,0.05,-0.24,-0.2,-0.39,0
