Date,Volume,Close,Average
17/11/14,5233000,108.300003,108.1500015
18/11/14,5407200,108.830002,108.3899995
19/11/14,5217800,108.760002,108.454998
20/11/14,8090700,108.18,108.130001
21/11/14,8417400,107.860001,108.175003
24/11/14,9098000,106.879997,107.435001
25/11/14,7367900,106.699997,106.9449995
26/11/14,5503700,107.209999,106.924999
28/11/14,5881200,108.25,108.075001
01/12/14,5638800,108.029999,108.079998
02/12/14,6184400,108.510002,108.0149995
03/12/14,8957400,107.720001,108.32
04/12/14,6697600,107.559998,107.84
05/12/14,6449700,108.510002,107.9799995
08/12/14,6499300,108.519997,108.509998
09/12/14,7214300,108.050003,107.68
10/12/14,9416400,106.239998,107.0550005
11/12/14,7114600,106.720001,106.3349995
12/12/14,8325500,104.43,105.630001
15/12/14,12110600,103.959999,104.3449975
16/12/14,10209200,102.760002,103.8549995
17/12/14,10207600,104.07,103.5949975
18/12/14,11756800,106.809998,105.779999
19/12/14,19154400,105.550003,106.4449995
22/12/14,8124500,106.739998,106.25
23/12/14,10171700,104.279999,105.415001
24/12/14,3415100,104.589996,104.8549995
26/12/14,2951000,105.059998,105.190002
29/12/14,4273400,105.330002,105.1500015
30/12/14,4371700,105.360001,105.4300005
31/12/14,6202100,104.57,105.325001
02/01/15,5753600,104.519997,104.84
05/01/15,8079300,103.790001,104.2050015
06/01/15,7428000,103.279999,103.965
07/01/15,7931700,105.559998,104.82
08/01/15,9916000,106.389999,106.119999
09/01/15,7364800,104.940002,105.625
12/01/15,6839000,104.580002,105.0600015
13/01/15,10151100,104.760002,105.285
14/01/15,8887700,104,103.970001
15/01/15,10834800,102.489998,102.9399985
16/01/15,14092300,104.040001,103.3100015
20/01/15,20460000,101.290001,101.1550025
21/01/15,11702900,101.900002,101.25
22/01/15,9036600,103.760002,102.700001
23/01/15,10126000,102.199997,102.4550015
26/01/15,8962800,102.260002,101.829998
27/01/15,10160500,102.089996,101.8499985
28/01/15,9053200,101.480003,102.185001
29/01/15,7569300,102.379997,101.5649985
30/01/15,10676300,100.139999,101.044998
02/02/15,8990700,100.830002,100.1149975
03/02/15,10005200,102.459999,101.8400005
04/02/15,9514100,101.360001,101.734997
05/02/15,6642200,102.459999,102.0099985
06/02/15,9215700,101.099998,101.6399995
09/02/15,9851700,99.779999,100.079998
10/02/15,12275500,100.349998,100.0649985
11/02/15,8177000,100.379997,100.369999
12/02/15,25835200,98.440002,98.8450015
13/02/15,11153600,99.620003,99
17/02/15,8627100,100.440002,99.800003
18/02/15,7878200,99.959999,100.1599995
19/02/15,10028200,100.699997,100.2249985
20/02/15,10085700,100.260002,99.740002
23/02/15,6878200,100.18,100.285
24/02/15,6587200,100.699997,100.5250015
25/02/15,9684000,101.209999,100.7250025
26/02/15,11437900,102.800003,102.2000005
27/02/15,8500000,102.510002,102.9050025
02/03/15,7277600,103.220001,102.960003
